"county","year","age_group","total_pop","at_risk"
"Garissa",2007,"80-84",1047,1046
"Tharaka-Nithi",2057,"65-69",14246,14231
"Nakuru",2066,"50-54",253815,181531
"Kiambu",2017,"95+",558,229
"Machakos",2037,"70-74",19269,19269
"Murang'a",2016,"70-74",6599,6013
"Nairobi",2005,"40-44",112463,2546
"Elgeyo-Marakwet",2060,"55-59",26168,14826
"Turkana",2002,"60-64",7587,7331
"Bomet",2032,"0-4",138840,134392
"Narok",2056,"25-29",124677,86731
"Kitui",2096,"40-44",79269,79269
"Nandi",2062,"10-14",106703,106703
"Meru",2032,"40-44",113801,105540
"Migori",2015,"70-74",6157,6157
"Marsabit",2034,"0-4",50808,49114
"Kakamega",2087,"65-69",165271,165271
"Nairobi",2087,"25-29",1621909,16508
"Nyeri",2097,"75-79",32939,27434
"Marsabit",2001,"5-9",37801,36408
"Baringo",2090,"45-49",49490,45825
"Narok",2037,"60-64",34733,24163
"Garissa",2080,"80-84",50332,50290
"Nyeri",2027,"0-4",104792,71683
"Marsabit",2092,"55-59",28796,28184
"Garissa",2031,"95+",318,317
"Lamu",2011,"5-9",15914,13217
"Wajir",2001,"55-59",5001,4998
"Isiolo",2031,"30-34",16400,16384
"Nyeri",2064,"65-69",34168,25674
"Vihiga",2075,"20-24",218502,218502
"Makueni",2086,"95+",872,872
"Homa Bay",2071,"85-89",7347,7347
"Kwale",2053,"60-64",37606,33548
"West Pokot",2087,"85-89",6706,5992
"Embu",2040,"80-84",3332,3332
"Baringo",2097,"10-14",44323,41170
"Kajiado",2048,"85-89",3624,2690
"Busia",2098,"75-79",39360,39360
"Garissa",2092,"5-9",256498,256337
"Bomet",2098,"90-94",4436,4310
"Elgeyo-Marakwet",2041,"20-24",49980,28319
"Nandi",2044,"85-89",2652,2652
"Nyamira",2075,"40-44",100721,100721
"Kilifi",2075,"95+",1516,1466
"Nyeri",2073,"75-79",21074,16288
"Makueni",2071,"40-44",78553,78553
"Marsabit",2070,"35-39",37734,36722
"Wajir",2069,"35-39",180734,180696
"Bungoma",2091,"15-19",193321,192675
"Kajiado",2037,"5-9",139390,108316
"Kericho",2061,"20-24",129510,118949
"Busia",2014,"0-4",128850,128849
"Nairobi",2093,"95+",29354,288
"Tharaka-Nithi",2009,"65-69",2526,2523
"Mombasa",2013,"60-64",12611,7252
"Samburu",2080,"85-89",2051,1661
"Makueni",2075,"65-69",44528,44528
"Mombasa",2032,"75-79",10440,6047
"Bomet",2039,"45-49",60334,58411
"Kisumu",2023,"80-84",3497,3497
"Bomet",2041,"35-39",89497,86650
"Makueni",2061,"85-89",4539,4539
"Tana River",2000,"25-29",15993,15761
"Nyeri",2059,"95+",342,250
"Kakamega",2073,"85-89",20880,20880
"Taita Taveta",2058,"50-54",34024,34024
"Tharaka-Nithi",2059,"80-84",3940,3936
"Elgeyo-Marakwet",2079,"55-59",24823,14065
"Turkana",2053,"5-9",135595,131302
"Tana River",2035,"75-79",2742,2709
"Siaya",2038,"85-89",2019,2019
"Kitui",2086,"20-24",93369,93369
"Baringo",2084,"5-9",54855,50672
"Makueni",2033,"65-69",18458,18458
"Vihiga",2038,"70-74",14782,14782
"Embu",2022,"65-69",7414,7414
"Turkana",2089,"25-29",86862,84535
"Homa Bay",2077,"95+",817,817
"Homa Bay",2046,"20-24",124070,124064
"Garissa",2026,"15-19",192579,192202
"Mombasa",2075,"65-69",217948,127044
"Makueni",2001,"30-34",50440,50440
"Turkana",2049,"80-84",8253,7992
"Bomet",2089,"5-9",63695,61855
"Nyamira",2030,"5-9",97416,97416
"Bomet",2009,"80-84",1535,1483
"Siaya",2064,"45-49",77012,77005
"Marsabit",2085,"40-44",33502,32728
"Samburu",2000,"25-29",13157,10737
"Embu",2054,"30-34",65989,65989
"Trans Nzoia",2066,"70-74",44205,43611
"Migori",2098,"50-54",89171,89170
"Laikipia",2006,"65-69",2903,1525
"Homa Bay",2073,"80-84",15604,15604
"Lamu",2077,"50-54",12901,11528
"Nyandarua",2053,"25-29",75651,671
"Lamu",2087,"20-24",15195,13785
"Embu",2062,"40-44",57317,57317
"Narok",2002,"50-54",14245,9988
"Kirinyaga",2002,"30-34",32284,32284
"Embu",2067,"45-49",53006,53006
"Tana River",2098,"0-4",16532,16332
"Laikipia",2048,"85-89",1641,790
"Kakamega",2028,"40-44",115723,115723
"Tana River",2056,"95+",120,118
"Baringo",2089,"80-84",14569,13487
"Nakuru",2054,"70-74",70377,48533
"Baringo",2024,"85-89",1106,1011
"Nairobi",2077,"5-9",1471628,16053
"Tharaka-Nithi",2054,"65-69",13456,13441
"Kilifi",2070,"20-24",203111,195528
"Lamu",2095,"75-79",6293,5776
"Nyandarua",2032,"25-29",74411,697
"Vihiga",2013,"10-14",77035,77035
"Tana River",2041,"25-29",38204,37738
"Siaya",2060,"80-84",9834,9834
"Turkana",2059,"90-94",1777,1722
"Makueni",2037,"25-29",113767,113767
"Laikipia",2023,"25-29",44011,22625
"Narok",2034,"25-29",135061,93963
"Kwale",2026,"35-39",58093,53012
"Baringo",2071,"65-69",33054,30400
"Nyandarua",2093,"10-14",49335,355
"Tana River",2014,"20-24",31138,30633
"Narok",2068,"95+",601,418
"Kwale",2077,"60-64",54190,46881
"Kisii",2044,"75-79",21500,21500
"Nyamira",2088,"65-69",65006,65006
"Vihiga",2069,"5-9",208123,208123
"Garissa",2015,"15-19",106228,105995
"Kericho",2027,"25-29",101058,91158
"Embu",2033,"75-79",4539,4539
"Nyamira",2097,"25-29",102691,102691
"Nyeri",2092,"80-84",22693,18617
"Embu",2023,"55-59",16518,16518
"Mandera",2031,"95+",499,499
"Garissa",2024,"0-4",203282,202873
"Turkana",2022,"0-4",151951,146825
"Kakamega",2015,"60-64",20695,20695
"West Pokot",2074,"60-64",41179,36561
"Kiambu",2098,"85-89",91942,27197
"Migori",2032,"10-14",130523,130519
"Homa Bay",2072,"40-44",95267,95262
"Isiolo",2093,"25-29",26624,26615
"Mandera",2088,"35-39",272910,272910
"Kakamega",2005,"5-9",193888,193888
"Nairobi",2007,"70-74",18396,414
"Kilifi",2020,"50-54",44347,41623
"Lamu",2048,"30-34",14790,12661
"Kisumu",2030,"50-54",51492,51492
"Nandi",2024,"95+",239,239
"Murang'a",2072,"15-19",100205,92564
"Machakos",2016,"20-24",116466,116466
"Kajiado",2065,"80-84",16968,11700
"Mombasa",2028,"85-89",2279,1317
"Makueni",2083,"25-29",70095,70095
"Bungoma",2081,"25-29",212155,211347
"Uasin Gishu",2076,"80-84",32397,28887
"Kitui",2040,"5-9",159640,159640
"Laikipia",2031,"95+",104,49
"Kwale",2029,"40-44",52473,47792
"Nyandarua",2046,"35-39",70227,637
"Kajiado",2018,"30-34",64077,52914
"Vihiga",2008,"95+",5,5
"Bomet",2042,"95+",219,213
"Kilifi",2036,"75-79",12637,11940
"Kisii",2077,"65-69",178418,178418
"Kitui",2030,"10-14",146979,146979
"Tana River",2065,"65-69",13050,12888
"Murang'a",2054,"35-39",97103,89133
"Nakuru",2048,"55-59",138996,94043
"Nyeri",2012,"40-44",32020,21601
"Lamu",2069,"60-64",9918,8757
"Busia",2007,"20-24",74043,74042
"Mombasa",2028,"65-69",21474,12429
"Embu",2064,"5-9",71474,71474
"Baringo",2008,"5-9",77142,70370
"Vihiga",2068,"15-19",205041,205041
"Vihiga",2064,"35-39",175788,175788
"Busia",2024,"40-44",51355,51354
"Turkana",2075,"10-14",104911,101870
"Kiambu",2005,"15-19",190973,81985
"Kisumu",2027,"65-69",17736,17736
"Machakos",2049,"95+",382,382
"Makueni",2096,"20-24",52278,52278
"Tharaka-Nithi",2071,"60-64",25525,25500
"Kiambu",2040,"75-79",24726,9226
"Kisii",2092,"40-44",325589,325589
"Kisii",2056,"95+",839,839
"Bomet",2094,"30-34",61555,59810
"Kwale",2099,"90-94",5677,4743
"Elgeyo-Marakwet",2004,"20-24",29104,16496
"Migori",2061,"0-4",128659,128658
"Kwale",2058,"20-24",99667,88405
"Wajir",2072,"85-89",13565,13561
"Taita Taveta",2028,"10-14",47129,47129
"Kajiado",2053,"50-54",81218,59002
"Makueni",2055,"25-29",103503,103503
"Kiambu",2022,"75-79",9678,3978
"Nandi",2012,"60-64",9947,9947
"Kitui",2002,"0-4",158182,158182
"Kitui",2080,"70-74",47947,47947
"Lamu",2039,"10-14",17897,15142
"Marsabit",2048,"5-9",47023,45551
"Narok",2025,"50-54",43626,30352
"Taita Taveta",2044,"60-64",14792,14792
"Mombasa",2010,"15-19",107355,61558
"Makueni",2015,"15-19",106275,106275
"Garissa",2047,"20-24",221456,221126
"Uasin Gishu",2020,"60-64",20524,16083
"Kwale",2099,"85-89",13229,11052
"Nyamira",2002,"15-19",63566,63566
"Samburu",2032,"75-79",1968,1596
"Baringo",2047,"75-79",8790,8039
"Nyandarua",2033,"50-54",31376,295
"Nandi",2013,"50-54",22041,22041
"Elgeyo-Marakwet",2053,"85-89",1637,923
"Kirinyaga",2040,"95+",138,138
"Mombasa",2069,"75-79",81585,47534
"Kiambu",2027,"70-74",18999,7616
"Busia",2009,"75-79",2986,2986
"Meru",2019,"60-64",24452,22506
"Narok",2089,"65-69",47118,32781
"Nyamira",2054,"40-44",83501,83501
"Trans Nzoia",2007,"45-49",24449,23919
"Nyamira",2097,"90-94",7664,7664
"Migori",2074,"65-69",61444,61442
"Makueni",2010,"50-54",21471,21471
"Taita Taveta",2052,"10-14",53131,53131
"Nyandarua",2087,"70-74",28090,210
"Kakamega",2045,"90-94",1875,1875
"Kajiado",2091,"80-84",43440,26920
"Bungoma",2025,"85-89",2975,2958
"Kisumu",2087,"60-64",135569,135569
"Tharaka-Nithi",2044,"90-94",323,323
"Nyeri",2001,"60-64",7151,4849
"Kakamega",2052,"65-69",74524,74524
"Taita Taveta",2030,"85-89",639,639
"Kericho",2043,"65-69",27421,24915
"Nandi",2072,"85-89",6783,6783
"Kericho",2072,"95+",775,718
"Kitui",2008,"70-74",6260,6260
"Trans Nzoia",2086,"65-69",85464,84596
"Nairobi",2091,"70-74",874304,8687
"Wajir",2096,"35-39",156212,156191
"Mandera",2020,"50-54",75850,75850
"Makueni",2085,"90-94",2858,2858
"Embu",2039,"10-14",83271,83271
"Nandi",2039,"0-4",139806,139806
"Samburu",2054,"5-9",33298,26948
"Taita Taveta",2008,"75-79",1121,1121
"Homa Bay",2036,"55-59",41066,41065
"Isiolo",2071,"45-49",22318,22306
"Kirinyaga",2007,"35-39",28973,28972
"Murang'a",2094,"0-4",68989,64403
"Nyeri",2026,"90-94",460,316
"Bungoma",2099,"35-39",186740,186182
"Migori",2099,"70-74",58424,58423
"Samburu",2084,"5-9",19388,15693
"Tharaka-Nithi",2081,"20-24",38178,38143
"Wajir",2088,"85-89",21688,21684
"Baringo",2023,"45-49",31257,28496
"Tharaka-Nithi",2078,"15-19",39075,39040
"Turkana",2038,"65-69",24297,23495
"Baringo",2040,"45-49",45423,41498
"Garissa",2016,"45-49",39850,39757
"Bomet",2028,"75-79",5676,5492
"Wajir",2057,"50-54",131773,131744
"Bomet",2096,"25-29",58930,57273
"Tana River",2018,"80-84",993,981
"Kakamega",2003,"85-89",1017,1017
"Narok",2029,"15-19",150968,105027
"Migori",2020,"65-69",10681,10681
"Kitui",2075,"40-44",102107,102107
"Wajir",2070,"90-94",4285,4285
"Murang'a",2067,"50-54",76044,70108
"Nyeri",2080,"95+",811,639
"Elgeyo-Marakwet",2058,"90-94",642,363
"Laikipia",2042,"10-14",67273,32926
"Wajir",2072,"55-59",127132,127107
"Trans Nzoia",2001,"50-54",12725,12470
"Kakamega",2081,"15-19",273933,273933
"Mandera",2076,"80-84",48577,48577
"Trans Nzoia",2067,"65-69",63483,62648
"Meru",2026,"35-39",116769,107877
"Nyandarua",2016,"15-19",73641,702
"Nakuru",2028,"90-94",1428,909
"Turkana",2048,"30-34",114245,110571
"Kiambu",2085,"20-24",470966,144419
"Turkana",2050,"75-79",14968,14489
"Marsabit",2047,"90-94",357,347
"Busia",2051,"30-34",99689,99688
"Kwale",2013,"15-19",76895,70466
"Turkana",2073,"85-89",8144,7907
"Tharaka-Nithi",2100,"10-14",30669,30647
"Mandera",2014,"55-59",28588,28588
"Mombasa",2036,"15-19",205118,118931
"Laikipia",2014,"45-49",16120,8436
"Machakos",2042,"50-54",78562,78562
"Nyandarua",2055,"85-89",2847,25
"Kwale",2094,"70-74",40703,34290
"Wajir",2058,"10-14",205643,205598
"Kajiado",2089,"10-14",143555,89630
"Murang'a",2068,"30-34",102854,94858
"Baringo",2053,"25-29",77941,71369
"Bomet",2071,"60-64",55767,54072
"Turkana",2084,"60-64",63854,62087
"Nyamira",2031,"25-29",78504,78504
"Makueni",2096,"95+",1100,1100
"Nandi",2012,"40-44",37634,37633
"Laikipia",2090,"25-29",42548,15757
"Siaya",2057,"65-69",34708,34704
"Mandera",2033,"0-4",364000,364000
"Marsabit",2062,"55-59",25290,24569
"Kajiado",2066,"75-79",30089,20653
"Nyandarua",2043,"95+",164,0
"Embu",2099,"50-54",44448,44448
"Marsabit",2100,"60-64",26057,25562
"Kiambu",2100,"5-9",455243,134019
"Tharaka-Nithi",2061,"25-29",43498,43453
"Kisii",2090,"40-44",322560,322560
"Tana River",2026,"10-14",45465,44909
"Kisumu",2086,"20-24",186698,186697
"Baringo",2065,"50-54",53224,48871
"Kakamega",2037,"65-69",41457,41457
"Samburu",2059,"0-4",31355,25377
"Nyandarua",2071,"15-19",68633,565
"Isiolo",2076,"35-39",26522,26508
"Kitui",2002,"95+",0,0
"Kilifi",2068,"35-39",192637,185241
"Kisumu",2010,"45-49",34264,34264
"Marsabit",2034,"25-29",39905,38568
"West Pokot",2059,"85-89",3248,2867
"Bungoma",2051,"90-94",2454,2444
"Tana River",2027,"70-74",3248,3207
"Narok",2023,"95+",306,210
"Nyeri",2091,"50-54",71275,58285
"Kajiado",2021,"55-59",21582,17769
"Tana River",2097,"30-34",18572,18343
"Murang'a",2039,"70-74",15502,14178
"Makueni",2077,"65-69",44365,44365
"Kajiado",2012,"15-19",79308,65468
"Lamu",2015,"40-44",5550,4635
"Tana River",2001,"70-74",1307,1284
"Migori",2050,"70-74",23107,23107
"Nakuru",2080,"85-89",33612,24960
"Garissa",2098,"65-69",202542,202428
"Busia",2019,"75-79",4107,4107
"West Pokot",2053,"10-14",85748,75544
"Nandi",2020,"65-69",10554,10553
"Garissa",2096,"10-14",259200,259050
"Siaya",2001,"60-64",8469,8469
"Kericho",2034,"50-54",50442,45632
"Nyeri",2060,"0-4",96260,71483
"Nyamira",2067,"10-14",108204,108204
"Laikipia",2074,"60-64",32199,13511
"Nyandarua",2049,"45-49",52491,470
"Lamu",2050,"95+",35,29
"Kiambu",2008,"45-49",52995,22703
"Isiolo",2050,"50-54",13704,13694
"West Pokot",2060,"90-94",1146,1011
"Nyamira",2075,"5-9",105877,105877
"Garissa",2076,"5-9",262172,261939
"Kwale",2004,"75-79",2111,1935
"Kwale",2005,"20-24",59102,54157
"Murang'a",2042,"45-49",65944,60352
"Kakamega",2055,"95+",790,790
"Turkana",2016,"80-84",2816,2717
"Kakamega",2053,"0-4",277938,277938
"Nandi",2027,"90-94",619,619
"Bomet",2046,"25-29",102577,99332
"Elgeyo-Marakwet",2015,"90-94",213,119
"Turkana",2017,"85-89",1511,1464
"Nakuru",2055,"40-44",269944,186766
"Kilifi",2049,"20-24",197910,188310
"Vihiga",2088,"30-34",240865,240865
"Uasin Gishu",2048,"35-39",158778,132679
"Baringo",2054,"20-24",83347,76334
"Nakuru",2056,"70-74",76618,53175
"Baringo",2063,"85-89",3690,3386
"Kirinyaga",2053,"50-54",46326,46324
"Kiambu",2075,"15-19",452065,143430
"Bomet",2071,"50-54",66236,64226
"Kericho",2004,"0-4",114327,102876
"Kericho",2074,"80-84",18150,16826
"Narok",2065,"15-19",115840,80590
"Mandera",2075,"25-29",296747,296747
"Murang'a",2062,"5-9",112930,103930
"Mandera",2094,"70-74",149466,149466
"Kisumu",2011,"15-19",115233,115233
"Nyamira",2083,"75-79",38092,38092
"Siaya",2094,"40-44",66535,66530
"Bungoma",2098,"25-29",186063,185499
"Kajiado",2026,"60-64",19270,15608
"Migori",2015,"0-4",146259,146254
"Kericho",2029,"80-84",3798,3429
"Kilifi",2031,"20-24",182909,172468
"Wajir",2052,"95+",513,513
"Wajir",2077,"80-84",30262,30257
"Nakuru",2083,"50-54",314456,235229
"Mandera",2078,"55-59",212331,212331
"Meru",2023,"60-64",29414,27126
"Nakuru",2059,"10-14",354089,248037
"Bomet",2004,"30-34",41298,39961
"Uasin Gishu",2018,"0-4",170499,133680
"Kwale",2041,"10-14",108309,97737
"Embu",2099,"65-69",35773,35773
"Embu",2037,"65-69",13553,13553
"Samburu",2063,"35-39",25688,20790
"Busia",2045,"25-29",104210,104208
"Kakamega",2020,"80-84",5074,5074
"Nyeri",2079,"15-19",84181,66293
"Taita Taveta",2097,"10-14",42564,42564
"Bungoma",2049,"70-74",42485,42265
"Migori",2049,"85-89",3628,3628
"Bungoma",2095,"15-19",185599,185010
"Garissa",2021,"25-29",121787,121534
"Trans Nzoia",2024,"60-64",21973,21554
"Laikipia",2047,"80-84",3573,1719
"Bomet",2000,"90-94",89,84
"Bomet",2073,"30-34",85700,83110
"Nairobi",2030,"10-14",683393,12760
"Nyeri",2077,"85-89",7393,5789
"Narok",2090,"30-34",73546,51163
"Turkana",2033,"45-49",64979,62821
"Nakuru",2066,"90-94",6725,4809
"Kilifi",2013,"70-74",7615,7144
"Kisumu",2065,"75-79",37057,37057
"Kilifi",2070,"40-44",181615,174831
"Mandera",2042,"55-59",120104,120104
"Elgeyo-Marakwet",2056,"75-79",6753,3826
"Tharaka-Nithi",2060,"10-14",44556,44508
"Marsabit",2029,"80-84",1250,1211
"Kirinyaga",2093,"60-64",55812,55809
"Nyamira",2072,"45-49",89199,89199
"Trans Nzoia",2027,"30-34",93477,91713
"Nyandarua",2009,"0-4",106821,1108
"Tana River",2026,"75-79",2022,1997
"Narok",2011,"35-39",55495,38427
"Wajir",2091,"90-94",8909,8909
"Kilifi",2043,"65-69",40525,38433
"Kisumu",2046,"50-54",82934,82934
"Kisii",2021,"20-24",132294,132294
"Wajir",2044,"95+",402,402
"Kakamega",2050,"5-9",277841,277841
"Makueni",2056,"75-79",15050,15050
"Garissa",2070,"95+",1557,1555
"Embu",2002,"50-54",9754,9754
"West Pokot",2096,"55-59",41884,37645
"Garissa",2099,"85-89",51552,51523
"Mandera",2047,"5-9",349940,349940
"West Pokot",2059,"90-94",1115,982
"Meru",2059,"90-94",3364,3186
"Mandera",2005,"0-4",126162,126162
"Kisumu",2013,"45-49",38499,38498
"Kiambu",2038,"50-54",130557,49251
"Trans Nzoia",2011,"10-14",113517,111066
"Embu",2034,"45-49",38145,38145
"Elgeyo-Marakwet",2042,"45-49",28243,15999
"Narok",2089,"80-84",20614,14341
"Trans Nzoia",2011,"5-9",132387,129537
"Machakos",2038,"10-14",176008,176008
"Uasin Gishu",2025,"65-69",17423,13795
"Kisumu",2037,"75-79",11218,11218
"Migori",2014,"60-64",11945,11945
"Siaya",2067,"55-59",66825,66818
"Samburu",2083,"55-59",16151,13071
"Murang'a",2082,"65-69",50546,46896
"Tharaka-Nithi",2037,"65-69",7752,7741
"Bungoma",2085,"60-64",144959,144430
"Nyeri",2054,"10-14",99165,72381
"Nairobi",2030,"65-69",90106,1682
"Nyandarua",2020,"40-44",34336,328
"Kericho",2057,"45-49",99614,91253
"Siaya",2048,"0-4",122700,122690
"Kiambu",2047,"55-59",144929,52118
"West Pokot",2069,"60-64",41508,36774
"Busia",2008,"35-39",40631,40631
"Taita Taveta",2013,"95+",50,50
"Kitui",2022,"0-4",158846,158846
"Migori",2001,"60-64",8995,8995
"Nyeri",2052,"35-39",78372,56875
"Kilifi",2034,"60-64",41184,38882
"Kiambu",2000,"5-9",219179,95170
"Makueni",2082,"80-84",14665,14665
"Kwale",2077,"50-54",68681,59419
"Kirinyaga",2013,"40-44",26060,26060
"Laikipia",2037,"65-69",10812,5377
"Kajiado",2002,"60-64",6034,4981
"Tharaka-Nithi",2052,"75-79",5459,5451
"Makueni",2067,"20-24",92597,92597
"Nyeri",2064,"20-24",92414,69456
"Laikipia",2000,"45-49",6787,3510
"Murang'a",2000,"10-14",115098,105053
"Mombasa",2033,"90-94",1059,615
"Kwale",2076,"70-74",35422,30688
"Kilifi",2029,"10-14",186869,176046
"Bomet",2088,"70-74",34659,33656
"Tharaka-Nithi",2058,"0-4",45621,45574
"Kirinyaga",2081,"70-74",35572,35571
"Meru",2018,"45-49",60145,55378
"Nandi",2088,"0-4",69091,69091
"Baringo",2014,"95+",147,131
"Meru",2080,"55-59",172908,166122
"Kilifi",2062,"40-44",164974,158106
"Bomet",2086,"90-94",3102,3012
"Samburu",2092,"35-39",16977,13737
"Kisii",2050,"70-74",44847,44847
"Kajiado",2058,"80-84",12364,8791
"Kakamega",2025,"0-4",247759,247759
"Nyeri",2069,"10-14",90477,69050
"Meru",2021,"15-19",183713,169231
"Kakamega",2033,"15-19",229857,229857
"Kitui",2025,"20-24",126998,126998
"Tharaka-Nithi",2047,"35-39",38469,38427
"Kisii",2028,"60-64",33414,33414
"Kwale",2063,"45-49",71909,63398
"Samburu",2083,"90-94",824,668
"West Pokot",2007,"90-94",127,111
"Mombasa",2094,"5-9",428583,250118
"Kericho",2092,"25-29",100918,94898
"Narok",2028,"70-74",11599,8073
"Bomet",2029,"90-94",617,596
"Mandera",2078,"0-4",283588,283588
"Murang'a",2075,"60-64",60598,56047
"Kakamega",2064,"80-84",30312,30312
"Nakuru",2090,"15-19",349404,265508
"Baringo",2090,"80-84",14834,13738
"Mandera",2087,"5-9",266634,266634
"Baringo",2061,"90-94",1207,1106
"Machakos",2052,"55-59",77313,77313
"Baringo",2017,"40-44",32572,29687
"Lamu",2095,"0-4",13370,12279
"Wajir",2010,"40-44",32603,32593
"Samburu",2035,"40-44",19984,16174
"Bungoma",2097,"10-14",180341,179782
"Bomet",2057,"50-54",69199,67042
"Bungoma",2003,"55-59",20580,20479
"Trans Nzoia",2029,"10-14",147172,144432
"Kwale",2034,"50-54",38489,34928
"Baringo",2000,"35-39",19903,18039
"Kisumu",2032,"15-19",153238,153238
"Nandi",2096,"40-44",63370,63369
"Trans Nzoia",2091,"5-9",131848,130621
"Siaya",2015,"95+",239,239
"Tharaka-Nithi",2019,"35-39",21809,21780
"Narok",2087,"10-14",75673,52648
"Busia",2088,"45-49",88696,88694
"Kisumu",2062,"20-24",187271,187271
"Homa Bay",2074,"75-79",25452,25450
"Wajir",2081,"50-54",149674,149647
"Kwale",2033,"30-34",75810,68852
"Vihiga",2062,"75-79",34154,34154
"Nyandarua",2026,"20-24",76481,723
"Samburu",2065,"50-54",20185,16333
"Kiambu",2019,"40-44",92577,38614
"Siaya",2030,"65-69",15928,15927
"Marsabit",2022,"85-89",544,525
"Taita Taveta",2027,"55-59",10920,10920
"Kilifi",2090,"60-64",148187,144182
"Nakuru",2044,"35-39",262896,175586
"Kisii",2097,"30-34",339623,339623
"Turkana",2046,"45-49",78561,76026
"Uasin Gishu",2080,"45-49",182960,164489
"Kisii",2086,"15-19",325317,325317
"Trans Nzoia",2068,"15-19",153003,151009
"Tharaka-Nithi",2057,"40-44",34889,34851
"Samburu",2062,"20-24",29638,23985
"Tharaka-Nithi",2017,"80-84",985,982
"Meru",2057,"75-79",34390,32483
"Kiambu",2009,"35-39",94691,40509
"Wajir",2034,"70-74",20646,20641
"Kisii",2079,"30-34",313083,313083
"Kilifi",2044,"0-4",219012,207842
"Machakos",2080,"25-29",159674,159674
"Nakuru",2080,"40-44",344088,255523
"Bomet",2046,"85-89",2779,2692
"Machakos",2002,"45-49",25673,25673
"Narok",2069,"80-84",14744,10256
"Migori",2066,"80-84",14703,14703
"Taita Taveta",2080,"75-79",15299,15299
"Nairobi",2088,"25-29",1631485,16501
"Samburu",2022,"85-89",468,380
"Kisii",2096,"15-19",326242,326242
"Kitui",2009,"40-44",45542,45542
"Kajiado",2038,"90-94",774,596
"Nakuru",2068,"80-84",46460,33422
"Kiambu",2032,"65-69",40374,15742
"Embu",2066,"75-79",14125,14125
"Kirinyaga",2075,"95+",575,575
"Mandera",2039,"5-9",355568,355568
"Kajiado",2051,"15-19",145349,106515
"Kitui",2075,"65-69",59390,59390
"West Pokot",2006,"45-49",14566,12789
"Uasin Gishu",2065,"20-24",198984,173158
"Kwale",2080,"75-79",26555,22868
"Nairobi",2079,"45-49",1391468,14952
"Nyandarua",2018,"10-14",89078,851
"Kakamega",2073,"50-54",207639,207639
"Busia",2092,"85-89",14149,14149
"Siaya",2016,"55-59",18805,18803
"Tharaka-Nithi",2025,"20-24",38837,38787
"Kwale",2016,"95+",206,188
"Nyandarua",2004,"10-14",76064,732
"Mombasa",2054,"90-94",3485,2028
"Migori",2036,"60-64",29933,29932
"Marsabit",2055,"65-69",13247,12842
"Wajir",2084,"5-9",164163,164134
"Nyandarua",2015,"25-29",58946,603
"Busia",2066,"30-34",107270,107270
"Kericho",2034,"95+",217,194
"Bungoma",2068,"0-4",232355,231336
"Wajir",2097,"30-34",154981,154959
"Makueni",2008,"40-44",38085,38085
"Bomet",2075,"60-64",53132,51537
"Kericho",2046,"5-9",145365,132296
"Machakos",2004,"60-64",11273,11273
"Taita Taveta",2042,"40-44",31634,31634
"Garissa",2072,"10-14",265339,265085
"Kericho",2058,"10-14",132558,121508
"Nakuru",2072,"85-89",25936,18869
"Kiambu",2009,"30-34",117737,50363
"Meru",2040,"70-74",28012,26122
"Lamu",2029,"35-39",9750,8154
"Marsabit",2076,"25-29",37172,36229
"Kericho",2081,"80-84",21730,20257
